Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
162,Stetson ,ASUN ,32,17,15,517,535,0.56,2023-2024
163,Colgate ,Patriot ,34,20,14,458,476,0.53,2023-2024
164,UIC ,MVC ,34,18,16,586,602,0.47,2023-2024
165,Vermont ,America East ,37,25,12,457,473,0.43,2023-2024
166,Kansas City ,Summit League ,32,12,20,513,526,0.41,2023-2024
167,UNC Asheville ,Big South ,31,11,20,487,499,0.39,2023-2024
168,Massachusetts ,Atlantic 10 ,32,5,27,540,552,0.38,2023-2024
169,Wake Forest ,ACC ,32,7,25,476,487,0.34,2023-2024
170,FIU ,CUSA ,33,21,12,600,610,0.3,2023-2024
171,Loyola Maryland ,Patriot ,31,16,15,431,440,0.29,2023-2024
172,App State ,Sun Belt ,32,17,15,564,573,0.28,2023-2024
173,Longwood ,Big South ,30,9,21,548,556,0.27,2023-2024
174,New Mexico St. ,CUSA ,31,13,18,527,535,0.26,2023-2024
175,Mississippi St. ,SEC ,35,23,12,492,501,0.26,2023-2024
176,Idaho ,Big Sky ,31,15,16,420,427,0.23,2023-2024
177,North Dakota St. ,Summit League ,34,22,12,525,532,0.21,2023-2024
178,Idaho St. ,Big Sky ,30,11,19,451,457,0.2,2023-2024
179,Oklahoma St. ,Big 12 ,30,14,16,431,436,0.17,2023-2024
180,North Texas ,AAC ,32,23,9,542,547,0.16,2023-2024
181,Coppin St. ,MEAC ,30,12,18,492,496,0.13,2023-2024
181,Lipscomb ,ASUN ,30,17,13,430,434,0.13,2023-2024
183,Nebraska ,Big Ten ,35,23,12,498,501,0.09,2023-2024
184,American ,Patriot ,30,10,20,496,498,0.07,2023-2024
185,South Fla. ,AAC ,33,19,14,441,442,0.03,2023-2024
186,Richmond ,Atlantic 10 ,35,29,6,500,501,0.03,2023-2024
187,Charlotte ,AAC ,31,16,15,561,561,0,2023-2024
187,Jacksonville St. ,CUSA ,29,12,17,458,458,0,2023-2024
189,Oklahoma ,Big 12 ,33,23,10,532,531,-0.03,2023-2024
190,Robert Morris ,Horizon ,30,6,24,490,488,-0.07,2023-2024
191,Saint Mary's CA,WCC ,31,13,18,491,488,-0.1,2023-2024
192,Abilene Christian ,WAC ,30,14,16,482,479,-0.1,2023-2024
192,Columbia ,Ivy League ,30,23,7,451,448,-0.1,2023-2024
194,Belmont ,MVC ,35,26,9,507,503,-0.11,2023-2024
195,New Mexico ,Mountain West ,32,21,11,455,451,-0.13,2023-2024
196,Alabama A&M ,SWAC ,31,15,16,542,538,-0.13,2023-2024
197,Duke ,ACC ,34,22,12,581,576,-0.15,2023-2024
198,Louisiana Tech ,CUSA ,33,14,19,513,508,-0.15,2023-2024
199,UAB ,AAC ,32,18,14,452,446,-0.19,2023-2024
199,Wichita St. ,AAC ,32,10,22,530,524,-0.19,2023-2024
201,Southern Miss. ,Sun Belt ,34,20,14,565,557,-0.24,2023-2024
201,UCLA ,Pac-12 ,34,27,7,512,504,-0.24,2023-2024
203,Radford ,Big South ,33,15,18,565,557,-0.24,2023-2024
204,UAlbany ,America East ,32,25,7,495,487,-0.25,2023-2024
205,Elon ,CAA ,32,11,21,543,534,-0.28,2023-2024
206,Western Ill. ,OVC ,30,18,12,478,469,-0.3,2023-2024
207,Central Ark. ,ASUN ,33,21,12,502,490,-0.36,2023-2024
208,Mississippi Val. ,SWAC ,31,4,27,582,570,-0.39,2023-2024
209,Winthrop ,Big South ,30,14,16,574,560,-0.47,2023-2024
210,Holy Cross ,Patriot ,34,21,13,431,415,-0.47,2023-2024
211,UTRGV ,WAC ,29,6,23,437,422,-0.52,2023-2024
212,Samford ,SoCon ,30,14,16,438,421,-0.57,2023-2024
213,Yale ,Ivy League ,27,8,19,401,385,-0.59,2023-2024
214,Kentucky ,SEC ,32,12,20,529,510,-0.59,2023-2024
215,UMBC ,America East ,29,10,19,483,465,-0.62,2023-2024
216,Penn ,Ivy League ,28,15,13,421,403,-0.64,2023-2024
217,Cal St. Fullerton ,Big West ,31,10,21,521,501,-0.65,2023-2024
218,Pacific ,WCC ,34,19,15,588,566,-0.65,2023-2024
219,Georgetown ,Big East ,35,23,12,536,513,-0.66,2023-2024
220,Morehead St. ,OVC ,30,15,15,532,512,-0.67,2023-2024
221,Delaware ,CAA ,31,11,20,545,522,-0.74,2023-2024
222,Denver ,Summit League ,30,8,22,415,392,-0.77,2023-2024
222,San Francisco ,WCC ,30,14,16,465,442,-0.77,2023-2024
224,La Salle ,Atlantic 10 ,30,8,22,494,470,-0.8,2023-2024
225,Kennesaw St. ,ASUN ,30,11,19,529,504,-0.83,2023-2024
226,LMU CA,WCC ,30,11,19,475,449,-0.87,2023-2024
227,George Washington ,Atlantic 10 ,31,13,18,507,480,-0.87,2023-2024
227,UTEP ,CUSA ,31,12,19,504,477,-0.87,2023-2024
229,Montana ,Big Sky ,33,23,10,424,395,-0.88,2023-2024
230,Manhattan ,MAAC ,30,18,12,483,455,-0.93,2023-2024
231,VCU ,Atlantic 10 ,32,26,6,495,465,-0.94,2023-2024
232,Virginia Tech ,ACC ,33,25,8,415,384,-0.94,2023-2024
233,Cornell ,Ivy League ,26,7,19,422,397,-0.96,2023-2024
234,St. Bonaventure ,Atlantic 10 ,30,4,26,492,463,-0.97,2023-2024
235,Stanford ,Pac-12 ,36,30,6,448,409,-1.08,2023-2024
236,Hawaii ,Big West ,31,20,11,456,421,-1.13,2023-2024
237,Boise St. ,Mountain West ,35,21,14,528,487,-1.17,2023-2024
238,California ,Pac-12 ,34,19,15,506,465,-1.21,2023-2024
239,Valparaiso ,MVC ,30,5,25,548,511,-1.23,2023-2024
240,Long Beach St. ,Big West ,33,15,18,668,627,-1.24,2023-2024
241,Wagner ,NEC ,28,7,21,571,536,-1.25,2023-2024
242,Florida A&M ,SWAC ,30,9,21,593,555,-1.27,2023-2024
243,Akron ,MAC ,29,11,18,472,434,-1.31,2023-2024
244,Cal Poly ,Big West ,31,17,14,589,548,-1.32,2023-2024
245,Georgia ,SEC ,30,12,18,486,446,-1.33,2023-2024
246,Delaware St. ,MEAC ,28,8,20,523,484,-1.39,2023-2024
